benchmark,model,sample_id,n_units,keep_ratio,spearman_pre_post,kendall_pre_post,jaccard_topk,mean_edge_pre_keep_post_drop,mean_edge_post_keep_pre_drop,frac_high_edge_pre_keep_post_drop,frac_high_edge_post_keep_pre_drop,rank_shift_edge_rho,unit_grid_h,unit_grid_w
textvqa,Qwen/Qwen3-VL-8B-Instruct,34776,768,0.25,0.2734108897923614,0.1849399717514124,0.2,0.13880030295695178,0.11362269381061196,0.6796875,0.5078125,0.12955323280694905,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34722,768,0.25,0.47029747165675123,0.3239963602781399,0.2757475083056478,0.14207857105573382,0.09676328800413586,0.7431192660550459,0.5229357798165137,0.2515083120573037,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35145,576,0.25,0.42563283349659664,0.29265700483091783,0.2576419213973799,0.21235469110748348,0.17774950322859429,0.5411764705882353,0.6352941176470588,0.05245707626778452,36,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35162,896,0.25,0.34156427583832244,0.23831304868316044,0.23756906077348067,0.3339018644630045,0.2121045055353771,0.8333333333333334,0.5579710144927537,0.20066408163348312,56,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35017,768,0.25,0.5162155638216889,0.3566655801825293,0.250814332247557,0.20488992372284764,0.10018828969610774,0.7739130434782608,0.6434782608695652,0.1577734389783452,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35170,1024,0.25,0.3234618531496479,0.22066896981636724,0.21040189125295508,0.21489695342491844,0.14742800951963234,0.688622754491018,0.47305389221556887,0.14386631219414453,64,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35152,672,0.25,0.34030034286827376,0.23399296091747476,0.20430107526881722,0.4891244673866544,0.22329236984018003,0.8558558558558559,0.46846846846846846,0.3748640379980352,42,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35070,768,0.25,0.27521153591840264,0.18517764015645372,0.24675324675324675,0.08682898950472259,0.07777358250690479,0.6637931034482759,0.6293103448275862,0.044304096373297,64,48
textvqa,Qwen/Qwen3-VL-8B-Instruct,34905,768,0.25,0.3839543812296231,0.26406996957844414,0.2549019607843137,0.31204655152141003,0.31154107906970013,0.5526315789473685,0.543859649122807,0.0433687813091709,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34967,768,0.25,0.37748806103695515,0.25452249022164275,0.2549019607843137,0.20432613810458988,0.2051615095005489,0.6842105263157895,0.5789473684210527,0.060208566782096594,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35134,768,0.25,0.1900915613667151,0.1276007714037375,0.20376175548589343,0.42586335041156903,0.31226033793659663,0.7086614173228346,0.4251968503937008,0.19511957251642187,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35155,704,0.25,0.13260099022976965,0.09177389111599639,0.1503267973856209,0.5097397291889557,0.17314461475381485,0.9153846153846154,0.35384615384615387,0.48296581724620224,44,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34778,640,0.25,0.3017328686105191,0.20529147104851328,0.2260536398467433,0.2337016695649317,0.1395515806161531,0.8118811881188119,0.5445544554455446,0.20066590874410364,40,64
